Disease,Description
Fungal infection,"A fungal infection is caused by fungi growing on the skin, nails, or inside the body. It often leads to itching, redness, rashes, or scaling. It spreads in warm, moist areas and can be treated with antifungal medicines."
Allergy,"An allergy happens when the immune system reacts to harmless substances like dust, pollen, or food. It may cause sneezing, itching, swelling, or breathing problems. Avoiding triggers and taking medicines can help control allergic reactions."
GERD,"GERD is a condition where stomach acid flows back into the food pipe, causing heartburn and irritation. It often happens after eating or lying down. Lifestyle changes and medications help manage symptoms and prevent damage."
Chronic cholestasis,"Chronic cholestasis is a condition where bile flow from the liver is reduced or blocked. It leads to yellowing of skin, itching, and digestive issues. It may be caused by liver disease and requires medical treatment."
Drug Reaction,"A drug reaction occurs when the body responds negatively to a medication. Symptoms can include rashes, swelling, itching, or breathing difficulty. Some reactions are mild, while others can be serious and need immediate medical attention."
Peptic ulcer disease,"Peptic ulcer disease involves sores forming in the stomach or upper intestine lining. It causes stomach pain, burning sensation, and discomfort. It is often caused by bacteria or excessive acid and can be treated with medicines."
AIDS,"AIDS is a serious condition caused by the HIV virus, which weakens the immune system. It makes the body unable to fight infections effectively. It spreads through blood or body fluids and requires lifelong medical treatment."
Diabetes,"Diabetes is a condition where the body cannot properly control blood sugar levels. It happens due to lack of insulin or its improper use. Symptoms include increased thirst, frequent urination, and fatigue. It requires long-term management."
Gastroenteritis,"Gastroenteritis is an infection of the stomach and intestines, often caused by viruses or bacteria. It leads to diarrhea, vomiting, stomach pain, and dehydration. It usually spreads through contaminated food or water and improves with proper care."
Bronchial Asthma,Bronchial asthma is a long-term respiratory condition in which the airways become inflamed and narrowed. It affects breathing and is often triggered by environmental factors. It requires regular management using inhalers and lifestyle precautions.
Hypertension,"Hypertension is a condition where blood pressure remains consistently high in the arteries. It increases the risk of heart disease and stroke. It is often managed through lifestyle changes, regular monitoring, and medications."
Migraine,"Migraine is a neurological condition characterized by recurring intense headaches. It is often linked to triggers such as stress, hormonal changes, or certain foods. Proper treatment and lifestyle adjustments help in reducing frequency and severity."
Cervical spondylosis,"Cervical spondylosis is an age-related condition affecting the neck region of the spine. It occurs due to wear and tear of spinal discs and bones. It is commonly managed with exercise, posture correction, and medical care."
Paralysis (brain hemorrhage),Paralysis due to brain hemorrhage occurs when bleeding in the brain damages nerve function. It can affect movement and coordination. Recovery depends on timely treatment and rehabilitation therapies.
Jaundice,"Jaundice is a condition caused by increased bilirubin levels in the body, often due to liver issues. It indicates problems with liver function and requires medical evaluation and treatment based on the cause."
Malaria,Malaria is a mosquito-borne disease caused by parasites that infect the bloodstream. It spreads through bites of infected female mosquitoes. It is common in tropical regions and requires timely medical treatment to prevent serious complications and ensure recovery.
Chicken pox,Malaria is a mosquito-borne disease caused by parasites that infect the bloodstream. It spreads through bites of infected female mosquitoes. It is common in tropical regions and requires timely medical treatment to prevent serious complications and ensure recovery.
Dengue,"Chicken pox is a contagious viral infection caused by the varicella-zoster virus. It mainly affects children but can also occur in adults. Vaccination helps prevent it, and proper care ensures recovery without complications in most cases."
